Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars,date_parsed
2/5/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-05
2/8/2016,360.00,/,/,360.00,0.00,0,0,"1,773,100",2016-02-08
2/9/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-09
2/10/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-10
2/11/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-11
2/12/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-12
2/15/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-15
2/16/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-16
2/17/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-17
2/18/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-18
2/19/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-19
2/22/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-22
2/23/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-23
2/24/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-24
2/25/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-25
2/26/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-26
2/29/2016,360.00,/,/,360.00,0.00,0,0,0,2016-02-29
3/1/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-01
3/2/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-02
3/3/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-03
3/4/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-04
3/7/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-07
3/8/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-08
3/9/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-09
3/10/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-10
3/11/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-11
3/14/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-14
3/15/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-15
3/16/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-16
3/17/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-17
3/18/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-18
3/21/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-21
3/22/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-22
3/23/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-23
3/24/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-24
3/25/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-25
3/28/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-28
3/29/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-29
3/30/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-30
3/31/2016,360.00,/,/,360.00,0.00,0,0,0,2016-03-31
4/1/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-01
4/4/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-04
4/5/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-05
4/6/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-06
4/7/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-07
4/8/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-08
4/11/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-11
4/12/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-12
4/13/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-13
4/14/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-14
4/15/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-15
4/18/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-18
4/19/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-19
4/20/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-20
4/21/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-21
4/22/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-22
4/25/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-25
4/26/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-26
4/27/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-27
4/28/2016,360.00,/,/,360.00,0.00,0,0,0,2016-04-28
5/3/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-03
5/4/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-04
5/5/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-05
5/6/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-06
5/9/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-09
5/10/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-10
5/11/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-11
5/12/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-12
5/13/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-13
5/16/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-16
5/17/2016,360.00,/,/,360.00,0.00,0,0,0,2016-05-17
